Rank,Hospital,Country
921,Rehabilitation Institute of Chicago,United States of America
924,Porter Adventist Hospital,United States of America
926,Gillette Children's Specialty Healthcare,United States of America
929,New England Baptist Hospital,United States of America
932,University of South Alabama Health System,United States of America
935,West Houston Medical Center,United States of America
936,Mayo Clinic Health System,United States of America
939,University of Michigan W.K Kellogg Eye Center,United States of America
949,Loyola University Health System,United States of America
950,University of Chicago Comer Children's Hospital,United States of America
951,Florida Hospital Association,United States of America
954,Sutter Medical Center Sacramento,United States of America
959,Missouri Delta Medical Center,United States of America
962,Penrose St Francis Health Services,United States of America
964,Yale Cancer Center,United States of America
966,Saint Agnes Medical Center CA,United States of America
966,Southcoast Health System & Southcoast Hospitals Group,United States of America
970,"Welcome to St Joseph Mercy Oakland Ann Arbor, Michigan (MI) - St Joseph Mercy Health System",United States of America
970,University of Iowa Children's Hospital,United States of America
972,Metro Health,United States of America
974,St Joseph Health Center,United States of America
974,(1)  Adventist Health System,United States of America
977,Memorial Hospital Jacksonville,United States of America
978,Le Bonheur Children's Medical Center,United States of America
979,Oak Hill Hospital,United States of America
980,Long Island IVF (East Coast Fertility),United States of America
981,Hallmark Health,United States of America
983,Mckinley Health Center University of Illinois at Urbana Champaign,United States of America
986,Cgh Medical Center,United States of America
993,Atlanticare Regional Medical Center,United States of America
994,Alexian Brothers Health System,United States of America
995,Kendall Regional Medical Center,United States of America
996,Fayette Regional Health System Connersville IN,United States of America
998,MDhospitals Maryland Hospital Association,United States of America
1002,Rose Medical Center,United States of America
1004,UC Health,United States of America
1009,Brooklyn Hospital Center,United States of America
1009,Northside Hospital & Tampa Bay Heart Institute,United States of America
1011,Department of Surgery at the University of Michigan,United States of America
1013,University of Texas Medical Branch HealthCare at Galveston,United States of America
1017,Lawnwood Regional Medical Center & Heart Institute,United States of America
1020,Aurora Baycare Medical Center,United States of America
1022,(1)  Baptist Health Care Pensacola Florida,United States of America
1027,St Luke's Hospital Chesterfield Missouri,United States of America
1027,"Welcome to St Mary Mercy Livonia Hospital - Livonia, MI",United States of America
1030,Pinnaclehealth Harrisburg,United States of America
1030,Maricopa Integrated Health System,United States of America
1034,Jps Health Network,United States of America
1035,Butler Hospital Providence Rhode Island,United States of America
1037,Holy Cross Hospital Silver Spring MD,United States of America
1038,Swedish Medical Denver,United States of America
1047,(1)  Bridgeport Hospital,United States of America
1060,Carondelet Health Network AZ,United States of America
1063,Care Group Healthcare System,United States of America
1066,Boys Town National Research Hospital,United States of America
1068,Tampa General Hospital,United States of America
1068,ThedaCare,United States of America
1075,Christian Medical College & Hospital,United States of America
1075,Grand Strand Regional Medical Center,United States of America
1077,St Mary Medical Center Langhorne PA,United States of America
1077,UCSF Benioff Children's Hospital,United States of America
1081,Presbyterian St Luke's Medical Center,United States of America
1081,Akron General Medical Center,United States of America
1083,Central Florida Regional Hospital,United States of America
1083,Children's Hospital New Orleans,United States of America
1085,St Anthony's Health Care,United States of America
1087,Louisiana Hospital Association,United States of America
1089,Parrish Medical Center,United States of America
1091,Guthrie Health and Medical Care,United States of America
1091,St Petersburg General Hospital,United States of America
1094,HCA Virginia (Henrico Doctors' Hospital),United States of America
1096,Cheshire Medical Center / Dartmouth Hitchcock Clinic,United States of America
1096,Kdhcd Kaweah Delta Health Care District,United States of America
1101,Dekalb Medical Center Decatur GA,United States of America
1103,Children's Hospital of Omaha,United States of America
1105,Tucson Medical Center,United States of America
1113,Meriter Health Services,United States of America
1115,North Mississippi Medical Center,United States of America
1117,St Mark's Hospital UT,United States of America
1120,Connecticut Children's Medical Center,United States of America
1124,John C Lincoln Hospitals,United States of America
1128,Catholic Health Services of Long Island,United States of America
1130,Palms West Hospital,United States of America
1131,Infertility Center of St Louis St Luke‰Ûªs Hospital,United States of America
1133,Department of Pediatrics at The University of Texas Health Science Center At San Antonio,United States of America
1133,Hendricks Regional Health,United States of America
1136,Northern Westchester Hospital,United States of America
1136,Torrance Memorial Medical Center,United States of America
1144,Berkshire Health Systems,United States of America
1145,High Point Regional Health System,United States of America
1146,Chatham Hospital,United States of America
1148,Trihealth Bethesda and Good Samaritan Hospital,United States of America
1149,Saint Francis Care Hartford CT,United States of America
1152,Texas Scottish Rite Hospital for Children,United States of America
1157,Genesys Regional Medical Center Grand Blanc Michigan,United States of America
1160,Univesity of California San Diego Medical Center Moores Cancer Center / Ucsd Cancer Center,United States of America
1169,Fawcett Memorial Hospital,United States of America
1169,Lsu Health Care Services Division Louisiana's Hospital System,United States of America
1171,Eisenhower Medical Center CA,United States of America
1173,Feminist Women's Health Center,United States of America
1173,Ridgeview Medical Center,United States of America
1175,St Mary Corwin Medical Center,United States of America
1176,Georgia Reproductive Specialists,United States of America
1177,Via Christi Health System,United States of America
1179,St Anthony Hospital Denver CO,United States of America
1183,Avera Health,United States of America
1184,Saint Alphonsus Regional Medical Center ID,United States of America
1184,Department of Behavioral Health and Developmental Disabilities,United States of America
1184,Wellmont Health System,United States of America
1187,Capital Regional Medical Center,United States of America
1189,Centra Health,United States of America
1192,Rogers Memorial Hospital,United States of America
1197,Boulder Community Hospital,United States of America
1199,Osceola Regional Medical Center,United States of America
1204,Methodist Health System,United States of America
1219,Westside Regional Medical Center,United States of America
1220,Community Health Center Inc.,United States of America
1224,Community Health Systems Inc.,United States of America
1225,Mount Nittany Medical Center,United States of America
1226,University Hospital & Medical Center,United States of America
1235,Women & Infants Hospital of Rhode Island,United States of America
1237,Community Medical Centers in the San Joaquin Valley,United States of America
1239,Sky Ridge Medical Center,United States of America
1242,Sibley Memorial Hospital Washington DC,United States of America
1242,Saint Vincent Hospital,United States of America
1246,Rockingham Memorial Hospital,United States of America
1248,Northwest Medical Center Margate FL,United States of America
1248,Medical City Dallas Hospital,United States of America
1252,Bronson Health,United States of America
1253,CHI Franciscan Health,United States of America
1255,Kent Hospital,United States of America
1262,Columbia St Mary's,United States of America
1262,University of North Carolina Kidney Center's,United States of America
